"","Species","Genus","Subfamily","Family","Order"
"8156","Parecbasis cyclolepis","Parecbasis","Stethaprioninae","Characidae","Characiformes"
"8157","Pareiodon microps","Pareiodon","Stegophilinae","Trichomycteridae","Siluriformes"
"8158","Pareiorhaphis azygolechis","Pareiorhaphis","Hypoptopomatinae","Loricariidae","Siluriformes"
"8159","Pareiorhaphis bahianus","Pareiorhaphis","Hypoptopomatinae","Loricariidae","Siluriformes"
"8160","Pareiorhaphis cameroni","Pareiorhaphis","Hypoptopomatinae","Loricariidae","Siluriformes"
"8161","Pareiorhaphis eurycephalus","Pareiorhaphis","Hypoptopomatinae","Loricariidae","Siluriformes"
"8162","Pareiorhaphis garbei","Pareiorhaphis","Hypoptopomatinae","Loricariidae","Siluriformes"
"8163","Pareiorhaphis hypselurus","Pareiorhaphis","Hypoptopomatinae","Loricariidae","Siluriformes"
"8164","Pareiorhaphis hystrix","Pareiorhaphis","Hypoptopomatinae","Loricariidae","Siluriformes"
"8165","Pareiorhaphis nasuta","Pareiorhaphis","Hypoptopomatinae","Loricariidae","Siluriformes"
"8166","Pareiorhaphis nudulus","Pareiorhaphis","Hypoptopomatinae","Loricariidae","Siluriformes"
"8167","Pareiorhaphis parmula","Pareiorhaphis","Hypoptopomatinae","Loricariidae","Siluriformes"
"8168","Pareiorhaphis scutula","Pareiorhaphis","Hypoptopomatinae","Loricariidae","Siluriformes"
"8169","Pareiorhaphis splendens","Pareiorhaphis","Hypoptopomatinae","Loricariidae","Siluriformes"
"8170","Pareiorhaphis steindachneri","Pareiorhaphis","Hypoptopomatinae","Loricariidae","Siluriformes"
"8171","Pareiorhaphis stomias","Pareiorhaphis","Hypoptopomatinae","Loricariidae","Siluriformes"
"8172","Pareiorhaphis vestigipinnis","Pareiorhaphis","Hypoptopomatinae","Loricariidae","Siluriformes"
"8173","Pareiorhina brachyrhyncha","Pareiorhina","Hypoptopomatinae","Loricariidae","Siluriformes"
"8174","Pareiorhina carrancas","Pareiorhina","Hypoptopomatinae","Loricariidae","Siluriformes"
"8175","Pareiorhina rudolphi","Pareiorhina","Hypoptopomatinae","Loricariidae","Siluriformes"
"8176","Pareques acuminatus","Pareques",NA,"Sciaenidae","Incertae sedis in Eupercaria"
"8177","Pareques umbrosus","Pareques",NA,"Sciaenidae","Incertae sedis in Eupercaria"
"8178","Paretroplus dambabe","Paretroplus","Etroplinae","Cichlidae","Cichliformes"
"8179","Paretroplus damii","Paretroplus","Etroplinae","Cichlidae","Cichliformes"
"8180","Paretroplus kieneri","Paretroplus","Etroplinae","Cichlidae","Cichliformes"
"8181","Paretroplus maculatus","Paretroplus","Etroplinae","Cichlidae","Cichliformes"
"8182","Paretroplus maromandia","Paretroplus","Etroplinae","Cichlidae","Cichliformes"
"8183","Paretroplus menarambo","Paretroplus","Etroplinae","Cichlidae","Cichliformes"
"8184","Paretroplus nourissati","Paretroplus","Etroplinae","Cichlidae","Cichliformes"
"8185","Paretroplus polyactis","Paretroplus","Etroplinae","Cichlidae","Cichliformes"
"8186","Paretroplus tsimoly","Paretroplus","Etroplinae","Cichlidae","Cichliformes"
"8187","Pareuchiloglanis anteanalis","Pareuchiloglanis","Glyptosterninae","Sisoridae","Siluriformes"
"8188","Pareuchiloglanis feae","Pareuchiloglanis","Glyptosterninae","Sisoridae","Siluriformes"
"8189","Pareuchiloglanis gracilicaudata","Pareuchiloglanis","Glyptosterninae","Sisoridae","Siluriformes"
"8190","Pareuchiloglanis sinensis","Pareuchiloglanis","Glyptosterninae","Sisoridae","Siluriformes"
"8191","Pareutropius debauwi","Pareutropius",NA,"Schilbeidae","Siluriformes"
"8192","Parexocoetus brachypterus","Parexocoetus",NA,"Exocoetidae","Beloniformes"
"8193","Parexocoetus hillianus","Parexocoetus",NA,"Exocoetidae","Beloniformes"
"8194","Parexocoetus mento","Parexocoetus",NA,"Exocoetidae","Beloniformes"
"8195","Parioglossus dotui","Parioglossus","Ptereleotrinae","Gobiidae","Gobiiformes"
"8196","Paristiopterus gallipavo","Paristiopterus","Histiopterinae","Pentacerotidae","Pempheriformes"
"8197","Paristiopterus labiosus","Paristiopterus","Histiopterinae","Pentacerotidae","Pempheriformes"
"8198","Parma microlepis","Parma","Microspathodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"8199","Parma oligolepis","Parma","Microspathodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"8200","Parodon hilarii","Parodon",NA,"Parodontidae","Characiformes"
"8201","Parodon nasus","Parodon",NA,"Parodontidae","Characiformes"
"8202","Parona signata","Parona","Scomberoidinae","Carangidae","Carangiformes"
"8203","Parophrys vetulus","Parophrys","Pleuronectinae","Pleuronectidae","Pleuronectiformes"
"8204","Parosphromenus anjunganensis","Parosphromenus","Macropodusinae","Osphronemidae","Anabantiformes"
"8205","Parosphromenus deissneri","Parosphromenus","Macropodusinae","Osphronemidae","Anabantiformes"
"8206","Parosphromenus ornaticauda","Parosphromenus","Macropodusinae","Osphronemidae","Anabantiformes"
"8207","Parosphromenus paludicola","Parosphromenus","Macropodusinae","Osphronemidae","Anabantiformes"
"8208","Parotocinclus aripuanensis","Parotocinclus","Hypoptopomatinae","Loricariidae","Siluriformes"
"8209","Parotocinclus bidentatus","Parotocinclus","Hypoptopomatinae","Loricariidae","Siluriformes"
"8210","Parotocinclus britskii","Parotocinclus","Hypoptopomatinae","Loricariidae","Siluriformes"
"8211","Parotocinclus collinsae","Parotocinclus","Hypoptopomatinae","Loricariidae","Siluriformes"
"8212","Parotocinclus eppleyi","Parotocinclus","Hypoptopomatinae","Loricariidae","Siluriformes"
"8213","Parotocinclus jumbo","Parotocinclus","Hypoptopomatinae","Loricariidae","Siluriformes"
"8214","Parotocinclus maculicauda","Parotocinclus","Hypoptopomatinae","Loricariidae","Siluriformes"
"8215","Parupeneus barberinus","Parupeneus",NA,"Mullidae","Syngnathiformes"
"8216","Parupeneus chrysonemus","Parupeneus",NA,"Mullidae","Syngnathiformes"
"8217","Parupeneus ciliatus","Parupeneus",NA,"Mullidae","Syngnathiformes"
"8218","Parupeneus cyclostomus","Parupeneus",NA,"Mullidae","Syngnathiformes"
"8219","Parupeneus forsskali","Parupeneus",NA,"Mullidae","Syngnathiformes"
"8220","Parupeneus fraserorum","Parupeneus",NA,"Mullidae","Syngnathiformes"
"8221","Parupeneus heptacanthus","Parupeneus",NA,"Mullidae","Syngnathiformes"
"8222","Parupeneus indicus","Parupeneus",NA,"Mullidae","Syngnathiformes"
"8223","Parupeneus insularis","Parupeneus",NA,"Mullidae","Syngnathiformes"
"8224","Parupeneus macronemus","Parupeneus",NA,"Mullidae","Syngnathiformes"
"8225","Parupeneus multifasciatus","Parupeneus",NA,"Mullidae","Syngnathiformes"
"8226","Parupeneus pleurostigma","Parupeneus",NA,"Mullidae","Syngnathiformes"
"8227","Parupeneus rubescens","Parupeneus",NA,"Mullidae","Syngnathiformes"
"8228","Parupeneus spilurus","Parupeneus",NA,"Mullidae","Syngnathiformes"
"8229","Parupeneus trifasciatus","Parupeneus",NA,"Mullidae","Syngnathiformes"
"8230","Parvilux ingens","Parvilux","Lampanyctinae","Myctophidae","Myctophiformes"
"8231","Patagonotothen cornucola","Patagonotothen","Nototheniinae","Nototheniidae","Perciformes"
"8232","Patagonotothen elegans","Patagonotothen","Nototheniinae","Nototheniidae","Perciformes"
"8233","Patagonotothen guntheri","Patagonotothen","Nototheniinae","Nototheniidae","Perciformes"
"8234","Patagonotothen longipes","Patagonotothen","Nototheniinae","Nototheniidae","Perciformes"
"8235","Patagonotothen ramsayi","Patagonotothen","Nototheniinae","Nototheniidae","Perciformes"
"8236","Patagonotothen sima","Patagonotothen","Nototheniinae","Nototheniidae","Perciformes"
"8237","Patagonotothen squamiceps","Patagonotothen","Nototheniinae","Nototheniidae","Perciformes"
"8238","Patagonotothen tessellata","Patagonotothen","Nototheniinae","Nototheniidae","Perciformes"
"8239","Patagonotothen wiltoni","Patagonotothen","Nototheniinae","Nototheniidae","Perciformes"
"8240","Pavoclinus graminis","Pavoclinus",NA,"Clinidae","Blenniiformes"
"8241","Pavoclinus profundus","Pavoclinus",NA,"Clinidae","Blenniiformes"
"8242","Peckoltia capitulata","Peckoltia","Hypostominae","Loricariidae","Siluriformes"
"8243","Peckoltia cavatica","Peckoltia","Hypostominae","Loricariidae","Siluriformes"
"8244","Peckoltia lineola","Peckoltia","Hypostominae","Loricariidae","Siluriformes"
"8245","Peckoltia oligospila","Peckoltia","Hypostominae","Loricariidae","Siluriformes"
"8246","Peckoltia otali","Peckoltia","Hypostominae","Loricariidae","Siluriformes"
"8247","Peckoltia simulata","Peckoltia","Hypostominae","Loricariidae","Siluriformes"
"8248","Peckoltia vittata","Peckoltia","Hypostominae","Loricariidae","Siluriformes"
"8249","Pectenocypris korthausae","Pectenocypris","Rasborinae","Cyprinidae","Cypriniformes"
"8250","Pegasus volitans","Pegasus",NA,"Pegasidae","Syngnathiformes"
"8251","Pegusa cadenati","Pegusa",NA,"Soleidae","Pleuronectiformes"
"8252","Pegusa impar","Pegusa",NA,"Soleidae","Pleuronectiformes"
"8253","Pegusa lascaris","Pegusa",NA,"Soleidae","Pleuronectiformes"
"8254","Pegusa nasuta","Pegusa",NA,"Soleidae","Pleuronectiformes"
"8255","Pelagocephalus marki","Pelagocephalus","Tetraodontinae","Tetraodontidae","Tetraodontiformes"
"8256","Pelasgus laconicus","Pelasgus","Leuciscinae","Cyprinidae","Cypriniformes"
"8257","Pelasgus marathonicus","Pelasgus","Leuciscinae","Cyprinidae","Cypriniformes"
"8258","Pelasgus minutus","Pelasgus","Leuciscinae","Cyprinidae","Cypriniformes"
"8259","Pelasgus prespensis","Pelasgus","Leuciscinae","Cyprinidae","Cypriniformes"
"8260","Pelasgus stymphalicus","Pelasgus","Leuciscinae","Cyprinidae","Cypriniformes"
"8261","Pelasgus thesproticus","Pelasgus","Leuciscinae","Cyprinidae","Cypriniformes"
"8262","Pelates octolineatus","Pelates",NA,"Terapontidae","Centrarchiformes"
"8263","Pelates quadrilineatus","Pelates",NA,"Terapontidae","Centrarchiformes"
"8264","Pelecus cultratus","Pelecus","Leuciscinae","Cyprinidae","Cypriniformes"
"8265","Pellona castelnaeana","Pellona",NA,"Pristigasteridae","Clupeiformes"
"8266","Pellona ditchela","Pellona",NA,"Pristigasteridae","Clupeiformes"
"8267","Pellona flavipinnis","Pellona",NA,"Pristigasteridae","Clupeiformes"
"8268","Pellona harroweri","Pellona",NA,"Pristigasteridae","Clupeiformes"
"8269","Pellonula leonensis","Pellonula",NA,"Clupeidae","Clupeiformes"
"8270","Pellonula vorax","Pellonula",NA,"Clupeidae","Clupeiformes"
"8271","Pelmatochromis buettikoferi","Pelmatochromis","Pseudocrenilabrinae","Cichlidae","Cichliformes"
"8272","Pelmatochromis nigrofasciatus","Pelmatochromis","Pseudocrenilabrinae","Cichlidae","Cichliformes"
"8273","Pelmatolapia cabrae","Pelmatolapia","Pseudocrenilabrinae","Cichlidae","Cichliformes"
"8274","Pelmatolapia mariae","Pelmatolapia","Pseudocrenilabrinae","Cichlidae","Cichliformes"
"8275","Pelsartia humeralis","Pelsartia",NA,"Terapontidae","Centrarchiformes"
"8276","Pelteobagrus eupogon","Pelteobagrus",NA,"Bagridae","Siluriformes"
"8277","Pelteobagrus intermedius","Pelteobagrus",NA,"Bagridae","Siluriformes"
"8278","Pelteobagrus ussuriensis","Pelteobagrus",NA,"Bagridae","Siluriformes"
"8279","Pelvicachromis humilis","Pelvicachromis",NA,"Cichlidae","Cichliformes"
"8280","Pelvicachromis pulcher","Pelvicachromis","Pseudocrenilabrinae","Cichlidae","Cichliformes"
"8281","Pempheris adusta","Pempheris",NA,"Pempheridae","Pempheriformes"
"8282","Pempheris mangula","Pempheris",NA,"Pempheridae","Pempheriformes"
"8283","Pempheris oualensis","Pempheris",NA,"Pempheridae","Pempheriformes"
"8284","Pempheris schomburgkii","Pempheris",NA,"Pempheridae","Pempheriformes"
"8285","Pempheris schwenkii","Pempheris",NA,"Pempheridae","Pempheriformes"
"8286","Pempheris vanicolensis","Pempheris",NA,"Pempheridae","Pempheriformes"
"8287","Penetopteryx nanus","Penetopteryx","Syngnathinae","Syngnathidae","Syngnathiformes"
"8288","Pennahia anea","Pennahia",NA,"Sciaenidae","Incertae sedis in Eupercaria"
"8289","Pennahia argentata","Pennahia",NA,"Sciaenidae","Incertae sedis in Eupercaria"
"8290","Pennahia macrocephalus","Pennahia",NA,"Sciaenidae","Incertae sedis in Eupercaria"
"8291","Pentaceropsis recurvirostris","Pentaceropsis","Histiopterinae","Pentacerotidae","Pempheriformes"
"8292","Pentaceros capensis","Pentaceros","Pentacerotinae","Pentacerotidae","Pempheriformes"
"8293","Pentaceros decacanthus","Pentaceros","Pentacerotinae","Pentacerotidae","Pempheriformes"
"8294","Pentanemus quinquarius","Pentanemus",NA,"Polynemidae","Incertae sedis in Carangaria"
"8295","Pentapodus aureofasciatus","Pentapodus",NA,"Nemipteridae","Spariformes"
"8296","Pentapodus bifasciatus","Pentapodus",NA,"Nemipteridae","Spariformes"
"8297","Pentapodus caninus","Pentapodus",NA,"Nemipteridae","Spariformes"
"8298","Pentapodus nagasakiensis","Pentapodus",NA,"Nemipteridae","Spariformes"
"8299","Pentapodus setosus","Pentapodus",NA,"Nemipteridae","Spariformes"
"8300","Peprilus burti","Peprilus",NA,"Stromateidae","Scombriformes"
"8301","Peprilus paru","Peprilus",NA,"Stromateidae","Scombriformes"
"8302","Peprilus simillimus","Peprilus",NA,"Stromateidae","Scombriformes"
"8303","Perca flavescens","Perca","Percinae","Percidae","Perciformes"
"8304","Perca fluviatilis","Perca","Percinae","Percidae","Perciformes"
"8305","Perca schrenkii","Perca","Percinae","Percidae","Perciformes"
"8306","Percarina demidoffii","Percarina","Percinae","Percidae","Perciformes"
"8307","Percarina maeotica","Percarina","Percinae","Percidae","Perciformes"
"8308","Perccottus glenii","Perccottus",NA,"Odontobutidae","Gobiiformes"
"8309","Percichthys trucha","Percichthys",NA,"Percichthyidae","Centrarchiformes"
"8310","Percilia irwini","Percilia",NA,"Percichthyidae","Centrarchiformes"
"8311","Percina antesella","Percina","Etheostomatinae","Percidae","Perciformes"
"8312","Percina apristis","Percina","Etheostomatinae","Percidae","Perciformes"
"8313","Percina aurantiaca","Percina","Etheostomatinae","Percidae","Perciformes"
"8314","Percina aurolineata","Percina","Etheostomatinae","Percidae","Perciformes"
"8315","Percina aurora","Percina","Etheostomatinae","Percidae","Perciformes"
"8316","Percina austroperca","Percina","Etheostomatinae","Percidae","Perciformes"
"8317","Percina bimaculata","Percina","Etheostomatinae","Percidae","Perciformes"
"8318","Percina brevicauda","Percina","Etheostomatinae","Percidae","Perciformes"
"8319","Percina burtoni","Percina","Etheostomatinae","Percidae","Perciformes"
"8320","Percina caprodes","Percina","Etheostomatinae","Percidae","Perciformes"
"8321","Percina carbonaria","Percina","Etheostomatinae","Percidae","Perciformes"
"8322","Percina cf","Percina",NA,"Percidae","Perciformes"
"8323","Percina copelandi","Percina","Etheostomatinae","Percidae","Perciformes"
"8324","Percina crassa","Percina","Etheostomatinae","Percidae","Perciformes"
"8325","Percina cymatotaenia","Percina","Etheostomatinae","Percidae","Perciformes"
"8326","Percina evides","Percina","Etheostomatinae","Percidae","Perciformes"
"8327","Percina fulvitaenia","Percina","Etheostomatinae","Percidae","Perciformes"
"8328","Percina gymnocephala","Percina","Etheostomatinae","Percidae","Perciformes"
"8329","Percina jenkinsi","Percina","Etheostomatinae","Percidae","Perciformes"
"8330","Percina kathae","Percina","Etheostomatinae","Percidae","Perciformes"
"8331","Percina kusha","Percina","Etheostomatinae","Percidae","Perciformes"
"8332","Percina lenticula","Percina","Etheostomatinae","Percidae","Perciformes"
"8333","Percina macrocephala","Percina","Etheostomatinae","Percidae","Perciformes"
"8334","Percina macrolepida","Percina","Etheostomatinae","Percidae","Perciformes"
"8335","Percina maculata","Percina","Etheostomatinae","Percidae","Perciformes"
"8336","Percina nasuta","Percina","Etheostomatinae","Percidae","Perciformes"
"8337","Percina nevisense","Percina","Etheostomatinae","Percidae","Perciformes"
"8338","Percina nigrofasciata","Percina","Etheostomatinae","Percidae","Perciformes"
"8339","Percina notogramma","Percina","Etheostomatinae","Percidae","Perciformes"
"8340","Percina oxyrhynchus","Percina","Etheostomatinae","Percidae","Perciformes"
"8341","Percina palmaris","Percina","Etheostomatinae","Percidae","Perciformes"
"8342","Percina pantherina","Percina","Etheostomatinae","Percidae","Perciformes"
"8343","Percina peltata","Percina","Etheostomatinae","Percidae","Perciformes"
"8344","Percina phoxocephala","Percina","Etheostomatinae","Percidae","Perciformes"
"8345","Percina rex","Percina","Etheostomatinae","Percidae","Perciformes"
"8346","Percina roanoka","Percina","Etheostomatinae","Percidae","Perciformes"
"8347","Percina sciera","Percina","Etheostomatinae","Percidae","Perciformes"
"8348","Percina shumardi","Percina","Etheostomatinae","Percidae","Perciformes"
"8349","Percina sipsi","Percina","Etheostomatinae","Percidae","Perciformes"
"8350","Percina smithvanizi","Percina","Etheostomatinae","Percidae","Perciformes"
"8351","Percina squamata","Percina","Etheostomatinae","Percidae","Perciformes"
"8352","Percina stictogaster","Percina","Etheostomatinae","Percidae","Perciformes"
"8353","Percina suttkusi","Percina","Etheostomatinae","Percidae","Perciformes"
"8354","Percina tanasi","Percina","Etheostomatinae","Percidae","Perciformes"
"8355","Percina uranidea","Percina","Etheostomatinae","Percidae","Perciformes"
"8356","Percina vigil","Percina","Etheostomatinae","Percidae","Perciformes"
"8357","Percina williamsi","Percina","Etheostomatinae","Percidae","Perciformes"
"8358","Percocypris pingi","Percocypris","Schizothoracinae","Cyprinidae","Cypriniformes"
"8359","Percocypris regani","Percocypris","Schizothoracinae","Cyprinidae","Cypriniformes"
"8360","Percocypris tchangi","Percocypris","Schizothoracinae","Cyprinidae","Cypriniformes"
"8361","Percophis brasiliensis","Percophis",NA,"Percophidae","Pempheriformes"
"8362","Percopsis omiscomaycus","Percopsis",NA,"Percopsidae","Percopsiformes"
"8363","Percopsis transmontana","Percopsis",NA,"Percopsidae","Percopsiformes"
"8364","Periophthalmus argentilineatus","Periophthalmus","Periophthalminae","Gobiidae","Gobiiformes"
"8365","Periophthalmus barbarus","Periophthalmus","Periophthalminae","Gobiidae","Gobiiformes"
"8366","Periophthalmus gracilis","Periophthalmus","Periophthalminae","Gobiidae","Gobiiformes"
"8367","Periophthalmus kalolo","Periophthalmus","Periophthalminae","Gobiidae","Gobiiformes"
"8368","Periophthalmus magnuspinnatus","Periophthalmus","Periophthalminae","Gobiidae","Gobiiformes"
"8369","Periophthalmus malaccensis","Periophthalmus","Periophthalminae","Gobiidae","Gobiiformes"
"8370","Periophthalmus modestus","Periophthalmus","Periophthalminae","Gobiidae","Gobiiformes"
"8371","Perissodus eccentricus","Perissodus","Pseudocrenilabrinae","Cichlidae","Cichliformes"
"8372","Perissodus microlepis","Perissodus","Pseudocrenilabrinae","Cichlidae","Cichliformes"
"8373","Peristedion cataphractum","Peristedion",NA,"Peristediidae","Perciformes"
"8374","Peristedion ecuadorense","Peristedion",NA,"Peristediidae","Perciformes"
"8375","Peristedion gracile","Peristedion",NA,"Peristediidae","Perciformes"
"8376","Peristedion miniatum","Peristedion",NA,"Peristediidae","Perciformes"
"8377","Peristedion truncatum","Peristedion",NA,"Peristediidae","Perciformes"
"8378","Peristedion weberi","Peristedion",NA,"Peristediidae","Perciformes"
"8379","Perrunichthys perruno","Perrunichthys",NA,"Pimelodidae","Siluriformes"
"8380","Perulibatrachus elminensis","Perulibatrachus","Halophryninae","Batrachoididae","Batrachoidiformes"
"8381","Pervagor janthinosoma","Pervagor",NA,"Monacanthidae","Tetraodontiformes"
"8382","Pervagor melanocephalus","Pervagor",NA,"Monacanthidae","Tetraodontiformes"
"8383","Pervagor nigrolineatus","Pervagor",NA,"Monacanthidae","Tetraodontiformes"
"8384","Petalichthys capensis","Petalichthys",NA,"Belonidae","Beloniformes"
"8385","Petenia splendida","Petenia","Cichlasomatinae","Cichlidae","Cichliformes"
"8386","Pethia bandula","Pethia","Smiliogastrinae","Cyprinidae","Cypriniformes"
"8387","Pethia conchonius","Pethia","Smiliogastrinae","Cyprinidae","Cypriniformes"
"8388","Pethia cumingii","Pethia","Smiliogastrinae","Cyprinidae","Cypriniformes"
"8389","Pethia erythromycter","Pethia","Smiliogastrinae","Cyprinidae","Cypriniformes"
"8390","Pethia gelius","Pethia","Smiliogastrinae","Cyprinidae","Cypriniformes"
"8391","Pethia manipurensis","Pethia","Smiliogastrinae","Cyprinidae","Cypriniformes"
"8392","Pethia meingangbii","Pethia","Smiliogastrinae","Cyprinidae","Cypriniformes"
"8393","Pethia melanomaculata","Pethia","Smiliogastrinae","Cyprinidae","Cypriniformes"
"8394","Pethia nigrofasciata","Pethia","Smiliogastrinae","Cyprinidae","Cypriniformes"
"8395","Pethia padamya","Pethia","Smiliogastrinae","Cyprinidae","Cypriniformes"
"8396","Pethia phutunio","Pethia","Smiliogastrinae","Cyprinidae","Cypriniformes"
"8397","Pethia punctata","Pethia","Smiliogastrinae","Cyprinidae","Cypriniformes"
"8398","Pethia reval","Pethia","Smiliogastrinae","Cyprinidae","Cypriniformes"
"8399","Pethia shalynius","Pethia","Smiliogastrinae","Cyprinidae","Cypriniformes"
"8400","Pethia stoliczkana","Pethia","Smiliogastrinae","Cyprinidae","Cypriniformes"
"8401","Pethia tiantian","Pethia","Smiliogastrinae","Cyprinidae","Cypriniformes"
"8402","Pethia ticto","Pethia","Smiliogastrinae","Cyprinidae","Cypriniformes"
"8403","Petrocephalus ansorgii","Petrocephalus",NA,"Mormyridae","Osteoglossiformes"
"8404","Petrocephalus balayi","Petrocephalus",NA,"Mormyridae","Osteoglossiformes"
"8405","Petrocephalus binotatus","Petrocephalus",NA,"Mormyridae","Osteoglossiformes"
"8406","Petrocephalus bovei bovei","Petrocephalus",NA,"Mormyridae","Osteoglossiformes"
"8407","Petrocephalus catostoma","Petrocephalus",NA,"Mormyridae","Osteoglossiformes"
"8408","Petrocephalus christyi","Petrocephalus",NA,"Mormyridae","Osteoglossiformes"
"8409","Petrocephalus frieli","Petrocephalus",NA,"Mormyridae","Osteoglossiformes"
"8410","Petrocephalus grandoculis","Petrocephalus",NA,"Mormyridae","Osteoglossiformes"
"8411","Petrocephalus mbossou","Petrocephalus",NA,"Mormyridae","Osteoglossiformes"
"8412","Petrocephalus microphthalmus","Petrocephalus",NA,"Mormyridae","Osteoglossiformes"
"8413","Petrocephalus odzalaensis","Petrocephalus",NA,"Mormyridae","Osteoglossiformes"
"8414","Petrocephalus pallidomaculatus","Petrocephalus",NA,"Mormyridae","Osteoglossiformes"
"8415","Petrocephalus pulsivertens","Petrocephalus",NA,"Mormyridae","Osteoglossiformes"
"8416","Petrocephalus sauvagii","Petrocephalus",NA,"Mormyridae","Osteoglossiformes"
"8417","Petrocephalus similis","Petrocephalus",NA,"Mormyridae","Osteoglossiformes"
"8418","Petrocephalus simus","Petrocephalus",NA,"Mormyridae","Osteoglossiformes"
"8419","Petrocephalus soudanensis","Petrocephalus",NA,"Mormyridae","Osteoglossiformes"
"8420","Petrocephalus squalostoma","Petrocephalus",NA,"Mormyridae","Osteoglossiformes"
"8421","Petrocephalus sullivani","Petrocephalus",NA,"Mormyridae","Osteoglossiformes"
"8422","Petrocephalus valentini","Petrocephalus",NA,"Mormyridae","Osteoglossiformes"
"8423","Petrocephalus zakoni","Petrocephalus",NA,"Mormyridae","Osteoglossiformes"
"8424","Petrochromis ephippium","Petrochromis","Pseudocrenilabrinae","Cichlidae","Cichliformes"
"8425","Petrochromis famula","Petrochromis","Pseudocrenilabrinae","Cichlidae","Cichliformes"
"8426","Petrochromis fasciolatus","Petrochromis","Pseudocrenilabrinae","Cichlidae","Cichliformes"
"8427","Petrochromis macrognathus","Petrochromis","Pseudocrenilabrinae","Cichlidae","Cichliformes"
"8428","Petrochromis orthognathus","Petrochromis","Pseudocrenilabrinae","Cichlidae","Cichliformes"
"8429","Petrochromis polyodon","Petrochromis","Pseudocrenilabrinae","Cichlidae","Cichliformes"
"8430","Petrochromis trewavasae","Petrochromis","Pseudocrenilabrinae","Cichlidae","Cichliformes"
"8431","Petroleuciscus borysthenicus","Petroleuciscus","Leuciscinae","Cyprinidae","Cypriniformes"
"8432","Petroleuciscus persidis","Petroleuciscus",NA,"Cyprinidae","Cypriniformes"
"8433","Petroleuciscus smyrnaeus","Petroleuciscus","Leuciscinae","Cyprinidae","Cypriniformes"
"8434","Petroscirtes breviceps","Petroscirtes","Blenniinae","Blenniidae","Blenniiformes"
"8435","Petroscirtes mitratus","Petroscirtes","Blenniinae","Blenniidae","Blenniiformes"
"8436","Petroscirtes variabilis","Petroscirtes","Blenniinae","Blenniidae","Blenniiformes"
"8437","Petrotilapia genalutea","Petrotilapia","Pseudocrenilabrinae","Cichlidae","Cichliformes"
"8438","Petrotyx sanguineus","Petrotyx",NA,"Ophidiidae","Ophidiiformes"
"8439","Petrus rupestris","Petrus",NA,"Sparidae","Spariformes"
"8440","Phaeoptyx conklini","Phaeoptyx","Apogoninae","Apogonidae","Kurtiformes"
"8441","Phaeoptyx pigmentaria","Phaeoptyx","Apogoninae","Apogonidae","Kurtiformes"
"8442","Phaeoptyx xenus","Phaeoptyx","Apogoninae","Apogonidae","Kurtiformes"
"8443","Phalacronotus apogon","Phalacronotus",NA,"Siluridae","Siluriformes"
"8444","Phalacronotus bleekeri","Phalacronotus",NA,"Siluridae","Siluriformes"
"8445","Phallichthys amates","Phallichthys","Poeciliinae","Poeciliidae","Cyprinodontiformes"
"8446","Phallichthys quadripunctatus","Phallichthys","Poeciliinae","Poeciliidae","Cyprinodontiformes"
"8447","Phallichthys tico","Phallichthys","Poeciliinae","Poeciliidae","Cyprinodontiformes"
"8448","Phalloptychus januarius","Phalloptychus","Poeciliinae","Poeciliidae","Cyprinodontiformes"
"8449","Phanerodon atripes","Phanerodon",NA,"Embiotocidae","Incertae sedis in Ovalentaria"
"8450","Phanerodon furcatus","Phanerodon",NA,"Embiotocidae","Incertae sedis in Ovalentaria"
"8451","Pharyngochromis acuticeps","Pharyngochromis","Pseudocrenilabrinae","Cichlidae","Cichliformes"
"8452","Phenacobius catostomus","Phenacobius","Pogonichthyinae","Cyprinidae","Cypriniformes"
"8453","Phenacobius crassilabrum","Phenacobius","Pogonichthyinae","Cyprinidae","Cypriniformes"
"8454","Phenacobius mirabilis","Phenacobius","Pogonichthyinae","Cyprinidae","Cypriniformes"
"8455","Phenacobius teretulus","Phenacobius","Pogonichthyinae","Cyprinidae","Cypriniformes"
"8456","Phenacobius uranops","Phenacobius","Pogonichthyinae","Cyprinidae","Cypriniformes"
"8457","Phenacogaster calverti","Phenacogaster","Characinae","Characidae","Characiformes"
"8458","Phenacogaster franciscoensis","Phenacogaster","Characinae","Characidae","Characiformes"
"8459","Phenacogrammus altus","Phenacogrammus",NA,"Alestidae","Characiformes"
"8460","Phenacogrammus ansorgii","Phenacogrammus",NA,"Alestidae","Characiformes"
"8461","Phenacogrammus aurantiacus","Phenacogrammus",NA,"Alestidae","Characiformes"
"8462","Phenacogrammus compressus","Phenacogrammus",NA,"Alestidae","Characiformes"
"8463","Phenacogrammus interruptus","Phenacogrammus",NA,"Alestidae","Characiformes"
"8464","Phenacogrammus nigropterus","Phenacogrammus",NA,"Alestidae","Characiformes"
"8465","Phenacogrammus polli","Phenacogrammus",NA,"Alestidae","Characiformes"
"8466","Phenacogrammus taeniatus","Phenacogrammus",NA,"Alestidae","Characiformes"
"8467","Phenacorhamdia tenebrosa","Phenacorhamdia",NA,"Heptapteridae","Siluriformes"
"8468","Phenagoniates macrolepis","Phenagoniates","Aphyocharacinae","Characidae","Characiformes"
